Mets ce groupe nominal au pluriel : "Mon oncle",Mais oncle,Mes oncles,Mais onclent,Mes oncle,2
"Restons ici." est une phrase :,Déclarative,Interrogative,Exclamative,Impérative,4
Choisis le pronom : _ est resté chez mamy hier soir.,Je,Tu,On,Ils,3
Quel est l’intrus ?,Manger,Lancer,Sévère,Boire,3
On a mangé _ les biscuits. ,tous,tout,toute,toutes,1
Elle est reven_ de la piscine.,u,ue,us,ues,2
J’_ l’espagnol l’année dernière.,apprendre,apprends,apprendrai,ai appris ,4
Vous (partir à l’imparfait) du travail le soir.,partez,partaient,partiez,partiait,3
"J’ai volé une carotte au lapin." Quel est le temps ?,Imparfait,Présent,Futur simple,Passé composé,4
"Aujourd’hui tu conduis la voiture." Quel est le COD ?,Aujourd’hui,tu,conduis,la voiture,4
"Août" se traduit en anglais par :,August,June,March,July,1
"Sixty-five" correspond à :,35,65,66,75,2
"He is" signifie :,Elle est,Je suis,Tu es,Il est,4
An insect which makes honey.,A bee,A spider,A crocodile,A fly,1
"Des pommes" se traduit en anglais par :,Pears,Strawberries,Apples,Pineapples,3
Your aunt is your _ ?,'Father''s grandson','Father''s sister','Father''s brother','Mother''s brother',2
"A monkey" se traduit en français par : ,Un âne,Un panda,Un singe,Une panthère,3
"Pink" se traduit en français par : ,Rouge,Vert,Jaune,Rose,4
"Parfois" se traduit en anglais par : ,Sometimes,Often,Never,Always,1
"It’s quarter to eigth" se traduit en français par :,08:15,07:45,15:08,07:56,2
Qu’elle est la première femme préhistorique découverte ?,Morgane,Malak,Florine,Lucy,4
Quelle est la période qui suit la préhistoire ?,Le Moyen-Âge,Les Temps Modernes,L’Antiquité,L’Époque Contemporaine,3
Qui est le Premier Roi des Francs ?,Clovis Ier,Henri IV,Louis XVI,Jacques Chirac,1
Qui est le Roi Soleil ?,Louis XII,Louis XIV,François Ier,Henri III,2
Qui est L’héroïne de la guerre de 100 ans ?,Mary Curry,Jeanne d’Arc,Simone de Beauvoir,Sophie Scholl,2
Qui est le Premier Empereur de France ?,François Mitterrand,Napoléon III,Napoléon Bonaparte,Pépin le Bref,3
Quand s’est déroulée la révolution française ?,14 Juillet 1789,4 Juillet 1776,4 Août 1789,12 Septembre 2001,1
En quelle année commence l’époque moderne ?,476,1789,1492,1515,3
Quelle est la première espèce d’Homme apparu sur Terre ?,Homo Erectus,Homo Sapiens,Homo Habilis,Homo Neandertalensis,3
Quand l’école est-elle devenue obligatoire en primaire ?,1914,1882,1982,1815,2
